,ParticipantID,TrialNum,TruePercent,ReportedPercent,AbsError,Log2Error,ChartType
340,b6yixy,34,81,86,5,2.357552004618084,Diverging
341,b6yixy,35,69,75,6,2.6147098441152083,Diverging
342,b6yixy,36,26,30,4,2.0443941193584534,Diverging
343,b6yixy,37,53,59,6,2.6147098441152083,Diverging
344,b6yixy,38,11,10,1,0.1699250014423123,Diverging
345,b6yixy,39,27,41,14,3.820178962415188,Diverging
346,b6yixy,40,54,50,4,2.0443941193584534,Diverging
347,b6yixy,41,15,20,5,2.357552004618084,Stacked
348,b6yixy,42,13,10,3,1.6438561897747248,Stacked
349,b6yixy,43,90,90,0,0.0,Stacked
350,b6yixy,44,28,25,3,1.6438561897747248,Stacked
351,b6yixy,45,73,74,1,0.1699250014423123,Stacked
352,b6yixy,46,49,50,1,0.1699250014423123,Stacked
353,b6yixy,47,30,36,6,2.6147098441152083,Stacked
354,b6yixy,48,22,21,1,0.1699250014423123,Stacked
355,b6yixy,49,43,42,1,0.1699250014423123,Stacked
356,b6yixy,50,52,50,2,1.087462841250339,Stacked
357,b6yixy,51,53,60,7,2.8328900141647417,Stacked
358,b6yixy,52,15,20,5,2.357552004618084,Stacked
359,b6yixy,53,13,20,7,2.8328900141647417,Stacked
360,b6yixy,54,27,29,2,1.087462841250339,Stacked
361,b6yixy,55,22,23,1,0.1699250014423123,Stacked
362,b6yixy,56,16,15,1,0.1699250014423123,Stacked
363,b6yixy,57,50,50,0,0.0,Stacked
364,b6yixy,58,38,42,4,2.0443941193584534,Stacked
365,b6yixy,59,12,18,6,2.6147098441152083,Stacked
366,b6yixy,60,45,43,2,1.087462841250339,Stacked
367,bha4wa,1,21,18,3,1.6438561897747248,Normal
368,bha4wa,2,76,76,0,0.0,Normal
369,bha4wa,3,45,20,25,4.651051691178929,Normal
370,bha4wa,4,97,92,5,2.357552004618084,Normal
371,bha4wa,5,34,26,8,3.0223678130284544,Normal
372,bha4wa,6,7,4,3,1.6438561897747248,Normal
373,bha4wa,7,42,50,8,3.0223678130284544,Normal
374,bha4wa,8,89,71,18,4.179909090014935,Normal
375,bha4wa,9,82,76,6,2.6147098441152083,Normal
376,bha4wa,10,44,34,10,3.3398500028846247,Normal
377,bha4wa,11,60,29,31,4.960001932068081,Normal
378,bha4wa,12,84,38,46,5.527477006060396,Normal
379,bha4wa,13,63,60,3,1.6438561897747248,Normal
380,bha4wa,14,23,34,11,3.4757334309663976,Normal
381,bha4wa,15,55,58,3,1.6438561897747248,Normal
382,bha4wa,16,21,19,2,1.087462841250339,Normal
383,bha4wa,17,61,41,20,4.330916878114617,Normal
384,bha4wa,18,99,79,20,4.330916878114617,Normal
385,bha4wa,19,50,31,19,4.257387842692652,Normal
386,bha4wa,20,62,27,35,5.134426320220926,Normal
387,bha4wa,21,68,81,13,3.7142455176661215,Diverging
388,bha4wa,22,96,71,25,4.651051691178929,Diverging
389,bha4wa,23,68,30,38,5.252665432450248,Diverging
390,bha4wa,24,64,67,3,1.6438561897747248,Diverging
391,bha4wa,25,98,83,15,3.918863237274594,Diverging
392,bha4wa,26,100,100,0,0.0,Diverging
393,bha4wa,27,24,18,6,2.6147098441152083,Diverging
394,bha4wa,28,18,20,2,1.087462841250339,Diverging
395,bha4wa,29,63,21,42,5.396604781181859,Diverging
396,bha4wa,30,73,50,23,4.531381460516312,Diverging
397,bha4wa,31,99,100,1,0.1699250014423123,Diverging
398,bha4wa,32,76,65,11,3.4757334309663976,Diverging
399,bha4wa,33,26,29,3,1.6438561897747248,Diverging
400,bha4wa,34,49,54,5,2.357552004618084,Diverging
401,bha4wa,35,19,19,0,0.0,Diverging
402,bha4wa,36,36,31,5,2.357552004618084,Diverging
403,bha4wa,37,36,60,24,4.592457037268081,Diverging
404,bha4wa,38,86,79,7,2.8328900141647417,Diverging
405,bha4wa,39,38,41,3,1.6438561897747248,Diverging
406,bha4wa,40,50,50,0,0.0,Diverging
407,bha4wa,41,93,96,3,1.6438561897747248,Stacked
408,bha4wa,42,31,33,2,1.087462841250339,Stacked
409,bha4wa,43,67,70,3,1.6438561897747248,Stacked
410,bha4wa,44,76,88,12,3.599912842187128,Stacked
411,bha4wa,45,62,73,11,3.4757334309663976,Stacked
412,bha4wa,46,96,86,10,3.3398500028846247,Stacked
413,bha4wa,47,91,80,11,3.4757334309663976,Stacked
414,bha4wa,48,67,44,23,4.531381460516312,Stacked
415,bha4wa,49,68,63,5,2.357552004618084,Stacked
416,bha4wa,50,28,45,17,4.098032082960526,Stacked
417,bha4wa,51,36,39,3,1.6438561897747248,Stacked
418,bha4wa,52,46,42,4,2.0443941193584534,Stacked
419,bha4wa,53,90,87,3,1.6438561897747248,Stacked
420,bha4wa,54,25,24,1,0.1699250014423123,Stacked
421,bha4wa,55,16,18,2,1.087462841250339,Stacked
422,bha4wa,56,40,46,6,2.6147098441152083,Stacked
423,bha4wa,57,10,15,5,2.357552004618084,Stacked
424,bha4wa,58,43,50,7,2.8328900141647417,Stacked
425,bha4wa,59,87,88,1,0.1699250014423123,Stacked
426,bha4wa,60,46,38,8,3.0223678130284544,Stacked
427,bha4wa,61,51,43,8,3.0223678130284544,Stacked
428,fkay58,1,8,12,4,2.0443941193584534,Normal
429,fkay58,2,68,70,2,1.087462841250339,Normal
430,fkay58,3,30,40,10,3.3398500028846247,Normal
431,fkay58,4,12,15,3,1.6438561897747248,Normal
432,fkay58,5,77,83,6,2.6147098441152083,Normal
433,fkay58,6,30,33,3,1.6438561897747248,Normal
434,fkay58,7,78,80,2,1.087462841250339,Normal
435,fkay58,8,70,75,5,2.357552004618084,Normal
436,fkay58,9,39,45,6,2.6147098441152083,Normal
437,fkay58,10,83,83,0,0.0,Normal
438,fkay58,11,14,15,1,0.1699250014423123,Normal
439,fkay58,12,72,83,11,3.4757334309663976,Normal
440,fkay58,13,15,19,4,2.0443941193584534,Normal
441,fkay58,14,54,50,4,2.0443941193584534,Normal
442,fkay58,15,94,95,1,0.1699250014423123,Normal
443,fkay58,16,80,85,5,2.357552004618084,Normal
444,fkay58,17,71,63,8,3.0223678130284544,Normal
445,fkay58,18,78,77,1,0.1699250014423123,Normal
446,fkay58,19,27,38,11,3.4757334309663976,Normal
447,fkay58,20,39,37,2,1.087462841250339,Normal
448,fkay58,21,22,27,5,2.357552004618084,Diverging
449,fkay58,22,79,71,8,3.0223678130284544,Diverging
450,fkay58,23,18,19,1,0.1699250014423123,Diverging
451,fkay58,24,53,43,10,3.3398500028846247,Diverging
452,fkay58,25,22,23,1,0.1699250014423123,Diverging
453,fkay58,26,83,90,7,2.8328900141647417,Diverging
454,fkay58,27,93,97,4,2.0443941193584534,Diverging
455,fkay58,28,38,40,2,1.087462841250339,Diverging
456,fkay58,29,38,25,13,3.7142455176661215,Diverging
457,fkay58,30,38,33,5,2.357552004618084,Diverging
458,fkay58,31,32,32,0,0.0,Diverging
459,fkay58,32,26,30,4,2.0443941193584534,Diverging
460,fkay58,33,51,80,29,4.864186144654281,Diverging
461,fkay58,34,64,60,4,2.0443941193584534,Diverging
462,fkay58,35,44,50,6,2.6147098441152083,Diverging
463,fkay58,36,30,33,3,1.6438561897747248,Diverging
464,fkay58,37,45,50,5,2.357552004618084,Diverging
465,fkay58,38,80,83,3,1.6438561897747248,Diverging
466,fkay58,39,30,34,4,2.0443941193584534,Diverging
467,fkay58,40,16,18,2,1.087462841250339,Diverging
468,fkay58,41,43,35,8,3.0223678130284544,Stacked
469,fkay58,42,34,32,2,1.087462841250339,Stacked
470,fkay58,43,24,27,3,1.6438561897747248,Stacked
471,fkay58,44,74,85,11,3.4757334309663976,Stacked
472,fkay58,45,28,20,8,3.0223678130284544,Stacked
473,fkay58,46,67,75,8,3.0223678130284544,Stacked
474,fkay58,47,44,60,16,4.011227255423254,Stacked
475,fkay58,48,83,88,5,2.357552004618084,Stacked
476,fkay58,49,23,25,2,1.087462841250339,Stacked
477,fkay58,50,100,100,0,0.0,Stacked
478,fkay58,51,87,90,3,1.6438561897747248,Stacked
479,fkay58,52,44,45,1,0.1699250014423123,Stacked
480,fkay58,53,82,90,8,3.0223678130284544,Stacked
481,fkay58,54,74,80,6,2.6147098441152083,Stacked
